Timestamp,Value,Type
7:10:13 PM.339,"26.20\r\n",received
7:10:13 PM.836,"26.20\r\n",received
7:10:14 PM.363,"26.20\r\n",received
7:10:14 PM.859,"26.20\r\n",received
7:10:15 PM.355,"26.20\r\n",received
7:10:15 PM.868,"26.20\r\n",received
7:10:16 PM.380,"26.20\r\n",received
7:10:16 PM.893,"26.20\r\n",received
7:10:17 PM.387,"26.20\r\n",received
7:10:17 PM.883,"26.20\r\n",received
7:10:18 PM.412,"26.20\r\n",received
7:10:18 PM.908,"26.20\r\n",received
7:10:19 PM.452,"26.20\r\n",received
7:10:19 PM.916,"26.20\r\n",received
7:10:20 PM.445,"26.20\r\n",received
7:10:20 PM.939,"26.20\r\n",received
7:10:21 PM.435,"26.20\r\n",received
7:10:21 PM.977,"26.20\r\n",received
7:10:22 PM.627,"26.20\r\n",received
7:10:22 PM.972,"26.20\r\n",received
7:10:23 PM.468,"26.20\r\n",received
7:10:23 PM.964,"26.20\r\n",received
7:10:24 PM.506,"26.20\r\n",received
7:10:25 PM.100,"26.20\r\n",received
7:10:25 PM.499,"26.20\r\n",received
7:10:25 PM.996,"26.20\r\n",received
7:10:26 PM.524,"26.20\r\n",received
7:10:27 PM.19,"26.20\r\n",received
7:10:27 PM.515,"26.20\r\n",received
7:10:28 PM.27,"26.20\r\n",received
7:10:28 PM.548,"25.80\r\n",received
7:10:29 PM.53,"25.80\r\n",received
7:10:29 PM.548,"25.80\r\n",received
7:10:30 PM.44,"25.80\r\n",received
7:10:30 PM.576,"25.80\r\n",received
7:10:31 PM.68,"25.80\r\n",received
7:10:31 PM.605,"25.80\r\n",received
7:10:32 PM.75,"25.80\r\n",received
7:10:32 PM.603,"25.80\r\n",received
7:10:33 PM.99,"25.80\r\n",received
7:10:33 PM.595,"25.80\r\n",received
7:10:34 PM.107,"25.80\r\n",received
7:10:34 PM.619,"25.80\r\n",received
7:10:35 PM.132,"25.80\r\n",received
7:10:35 PM.627,"25.80\r\n",received
7:10:36 PM.126,"25.80\r\n",received
7:10:36 PM.651,"25.80\r\n",received
7:10:37 PM.147,"25.80\r\n",received
7:10:37 PM.643,"25.80\r\n",received
7:10:38 PM.156,"25.80\r\n",received
7:10:38 PM.683,"25.80\r\n",received
7:10:39 PM.179,"25.80\r\n",received
7:10:39 PM.675,"25.80\r\n",received
7:10:40 PM.172,"25.80\r\n",received
7:10:40 PM.700,"25.80\r\n",received
7:10:41 PM.195,"25.80\r\n",received
7:10:41 PM.716,"25.80\r\n",received
7:10:42 PM.203,"25.80\r\n",received
7:10:42 PM.731,"25.80\r\n",received
7:10:43 PM.228,"25.80\r\n",received
7:10:43 PM.723,"25.80\r\n",received
7:10:44 PM.219,"25.80\r\n",received
7:10:44 PM.747,"25.80\r\n",received
7:10:45 PM.259,"25.80\r\n",received
7:10:45 PM.756,"25.80\r\n",received
7:10:46 PM.251,"25.80\r\n",received
7:10:46 PM.779,"25.80\r\n",received
7:10:47 PM.275,"25.80\r\n",received
7:10:47 PM.798,"25.80\r\n",received
7:10:48 PM.284,"25.80\r\n",received
7:10:48 PM.795,"25.80\r\n",received
7:10:49 PM.311,"25.80\r\n",received
7:10:49 PM.803,"25.80\r\n",received
7:10:50 PM.299,"25.80\r\n",received
7:10:50 PM.827,"25.80\r\n",received
7:10:51 PM.340,"25.80\r\n",received
7:10:51 PM.835,"25.80\r\n",received
7:10:52 PM.331,"25.80\r\n",received
7:10:52 PM.859,"25.80\r\n",received
7:10:53 PM.355,"25.80\r\n",received
7:10:53 PM.867,"25.80\r\n",received
7:10:54 PM.364,"25.80\r\n",received
7:10:54 PM.891,"25.80\r\n",received
7:10:55 PM.387,"25.80\r\n",received
7:10:55 PM.882,"25.80\r\n",received
7:10:56 PM.379,"25.80\r\n",received
7:10:56 PM.907,"25.80\r\n",received
7:11:52 PM.544,"\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000�***** Arduino IoT Cloud - configuration info *****\r\n",received
7:11:52 PM.619,"Device ID: 3595048b-7876-4f41-8e31-d3816b9ba5c4\r\n",received
7:11:52 PM.659,"MQTT Broker: iot.arduino.cc:8884\r\n",received
7:11:52 PM.663,"WiFi.status(): 255\r\n",received
7:11:52 PM.708,"25.80\r\n",received
7:11:53 PM.182,"25.80\r\n",received
7:11:53 PM.677,"25.80\r\n",received
7:11:54 PM.172,"25.80\r\n",received
7:11:54 PM.700,"25.80\r\n",received
7:11:55 PM.196,"25.80\r\n",received
7:11:55 PM.721,"25.80\r\n",received
7:11:56 PM.205,"25.80\r\n",received
7:11:56 PM.749,"Connection to \"Galaxy A20s1023\" failed\r\n",received
7:11:56 PM.831,"Retrying in  \"4000\" milliseconds\r\n",received
7:11:56 PM.882,"25.80\r\n",received
7:11:57 PM.229,"25.80\r\n",received
7:11:57 PM.750,"25.80\r\n",received
7:11:58 PM.237,"25.80\r\n",received
7:11:58 PM.784,"25.80\r\n",received
7:11:59 PM.260,"25.80\r\n",received
7:11:59 PM.756,"25.80\r\n",received
7:12:00 PM.287,"25.80\r\n",received
7:12:00 PM.806,"Connected to \"Galaxy A20s1023\"\r\n",received
7:12:01 PM.997,"25.80\r\n",received
7:12:02 PM.852,"25.80\r\n",received
7:12:06 PM.396,"25.80\r\n",received
7:12:06 PM.913,"25.80\r\n",received
7:12:07 PM.981,"25.80\r\n",received
7:12:08 PM.931,"Connected to Arduino IoT Cloud\r\n",received
7:12:08 PM.948,"Thing ID: 48099ae9-4e80-4478-a8a7-e6727c044aba\r\n",received
7:12:08 PM.948,"25.80\r\n",received
7:12:09 PM.389,"25.80\r\n",received
7:12:09 PM.920,"25.80\r\n",received
7:12:10 PM.397,"25.80\r\n",received
7:12:10 PM.924,"25.80\r\n",received
7:12:11 PM.421,"25.80\r\n",received
7:12:11 PM.938,"25.80\r\n",received
7:12:12 PM.429,"25.80\r\n",received
7:12:12 PM.964,"25.80\r\n",received
7:12:13 PM.453,"25.80\r\n",received
7:12:13 PM.948,"25.80\r\n",received
7:12:14 PM.444,"25.80\r\n",received
7:12:14 PM.973,"25.80\r\n",received
7:12:15 PM.510,"25.80\r\n",received
7:12:15 PM.988,"25.80\r\n",received
7:12:16 PM.477,"25.80\r\n",received
7:12:17 PM.17,"25.80\r\n",received
7:12:17 PM.501,"25.80\r\n",received
7:12:17 PM.997,"25.80\r\n",received
7:12:18 PM.537,"25.80\r\n",received
7:12:19 PM.21,"25.80\r\n",received
7:12:19 PM.543,"25.80\r\n",received
7:12:20 PM.63,"25.80\r\n",received
7:12:20 PM.526,"25.80\r\n",received
7:12:21 PM.53,"25.80\r\n",received
7:12:21 PM.811,"25.80\r\n",received
7:12:22 PM.70,"25.80\r\n",received
7:12:22 PM.556,"25.80\r\n",received
7:12:23 PM.128,"25.80\r\n",received
7:12:23 PM.581,"25.80\r\n",received
7:12:24 PM.80,"25.80\r\n",received
7:12:24 PM.596,"25.80\r\n",received
7:12:25 PM.101,"25.80\r\n",received
7:12:25 PM.615,"25.80\r\n",received
7:12:26 PM.108,"25.80\r\n",received
7:12:26 PM.605,"25.80\r\n",received
7:12:27 PM.133,"25.80\r\n",received
7:12:27 PM.629,"25.80\r\n",received
7:12:28 PM.124,"25.80\r\n",received
7:12:28 PM.648,"25.80\r\n",received
7:12:29 PM.149,"25.80\r\n",received
7:12:29 PM.743,"25.80\r\n",received
7:12:30 PM.187,"25.80\r\n",received
7:12:30 PM.653,"25.80\r\n",received
7:12:31 PM.195,"25.80\r\n",received
7:12:31 PM.785,"25.80\r\n",received
7:12:32 PM.190,"25.80\r\n",received
7:12:32 PM.686,"25.80\r\n",received
7:12:33 PM.213,"25.80\r\n",received
7:12:33 PM.709,"25.80\r\n",received
7:12:34 PM.205,"25.80\r\n",received
7:12:34 PM.700,"25.80\r\n",received
7:12:35 PM.229,"25.80\r\n",received
7:12:35 PM.725,"25.80\r\n",received
7:12:36 PM.236,"25.80\r\n",received
7:12:36 PM.734,"25.80\r\n",received
7:12:37 PM.261,"25.80\r\n",received
7:12:37 PM.757,"25.80\r\n",received
7:12:38 PM.253,"25.80\r\n",received
7:12:38 PM.749,"25.80\r\n",received
7:12:39 PM.277,"25.80\r\n",received
7:12:39 PM.789,"25.80\r\n",received
7:12:40 PM.284,"25.80\r\n",received
7:12:40 PM.784,"25.80\r\n",received
7:12:41 PM.309,"25.80\r\n",received
7:12:41 PM.804,"25.80\r\n",received
7:12:42 PM.596,"25.80\r\n",received
7:12:42 PM.838,"25.80\r\n",received
7:12:43 PM.325,"25.80\r\n",received
7:12:43 PM.846,"25.80\r\n",received
7:12:44 PM.346,"25.80\r\n",received
7:12:44 PM.829,"25.80\r\n",received
7:12:45 PM.357,"25.80\r\n",received
7:12:45 PM.852,"25.80\r\n",received
7:12:46 PM.349,"25.80\r\n",received
7:12:46 PM.874,"25.80\r\n",received
7:12:47 PM.375,"25.80\r\n",received
7:12:47 PM.889,"25.80\r\n",received
7:12:48 PM.381,"25.80\r\n",received
7:12:48 PM.877,"25.80\r\n",received
7:12:49 PM.404,"25.80\r\n",received
7:12:49 PM.901,"25.80\r\n",received
7:12:50 PM.413,"25.80\r\n",received
7:12:50 PM.935,"25.80\r\n",received
7:12:51 PM.447,"25.80\r\n",received
7:12:51 PM.933,"25.80\r\n",received
7:12:52 PM.429,"25.80\r\n",received
7:12:52 PM.946,"25.80\r\n",received
7:12:53 PM.499,"25.80\r\n",received
7:12:53 PM.972,"25.80\r\n",received
7:12:54 PM.461,"25.80\r\n",received
7:12:54 PM.956,"25.80\r\n",received
7:12:55 PM.485,"25.80\r\n",received
7:12:55 PM.981,"25.80\r\n",received
7:12:56 PM.502,"25.80\r\n",received
7:12:57 PM.225,"25.80\r\n",received
7:12:57 PM.516,"25.80\r\n",received
7:12:58 PM.13,"25.80\r\n",received
7:12:58 PM.509,"25.80\r\n",received
7:12:59 PM.5,"25.80\r\n",received
7:12:59 PM.533,"25.80\r\n",received
7:13:00 PM.44,"25.80\r\n",received
7:13:00 PM.540,"25.80\r\n",received
7:13:01 PM.37,"25.80\r\n",received
7:13:01 PM.565,"25.80\r\n",received
7:13:02 PM.61,"25.80\r\n",received
7:13:02 PM.557,"25.80\r\n",received
7:13:03 PM.69,"25.80\r\n",received
7:13:03 PM.580,"25.80\r\n",received
7:13:04 PM.93,"25.80\r\n",received
7:13:04 PM.589,"25.80\r\n",received
7:13:05 PM.85,"25.80\r\n",received
7:13:05 PM.613,"25.80\r\n",received
7:13:06 PM.109,"25.80\r\n",received
7:13:06 PM.605,"25.80\r\n",received
7:13:07 PM.116,"25.80\r\n",received
7:13:07 PM.629,"25.80\r\n",received
7:13:08 PM.141,"25.80\r\n",received
7:13:08 PM.637,"25.80\r\n",received
7:13:09 PM.132,"25.80\r\n",received
7:13:09 PM.660,"25.80\r\n",received
7:13:10 PM.156,"25.80\r\n",received
7:13:10 PM.669,"25.80\r\n",received
7:13:11 PM.165,"25.80\r\n",received
7:13:11 PM.693,"25.80\r\n",received
7:13:12 PM.189,"25.80\r\n",received
7:13:12 PM.685,"25.80\r\n",received
7:13:13 PM.181,"25.80\r\n",received
7:13:13 PM.708,"25.80\r\n",received
7:13:14 PM.204,"25.80\r\n",received
7:13:14 PM.716,"25.80\r\n",received
